nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
6,0,0,0,0,432,511,0,0,0,0
7,0,0,0,0,432,511,0,0,0,0
8,0,0,0,0,432,511,0,0,0,0
9,0,0,0,0,432,510,0,0,0,0
10,0,0,0,0,432,510,0,0,0,0
11,0,0,0,0,432,511,0,0,0,0
12,0,0,0,0,432,511,0,0,0,0
13,0,0,0,0,433,511,0,0,0,0
14,0,0,0,0,432,511,0,0,0,0
15,0,0,0,0,433,511,0,0,0,0
0,0,0,0,0,433,510,0,0,0,0
1,0,0,0,0,433,509,0,0,0,0
2,0,0,0,0,434,509,0,0,0,0
3,0,0,0,0,434,510,0,0,0,0
4,0,0,0,0,434,510,0,0,0,0
5,0,0,0,0,435,510,0,0,0,0
6,0,0,0,0,435,510,0,0,0,0
7,0,0,0,0,435,510,0,0,0,0
8,0,0,0,0,435,510,0,0,0,0
9,0,0,0,0,435,510,0,0,0,0
10,0,0,0,0,436,510,0,0,0,0
11,0,0,0,0,435,510,0,0,0,0
12,0,0,0,0,436,510,0,0,0,0
13,0,0,0,0,437,511,0,0,0,0
14,0,0,0,0,437,511,0,0,0,0
15,0,0,0,0,436,511,0,0,0,0
0,0,0,0,0,437,512,0,0,0,0
1,0,0,0,0,438,513,0,0,0,0
